uid,type,points_finish,points_bronze,points_silver,points_gold,points_at
Vg7zUgCAXaPHyWZRXOgjjxl9rXc,RPG,10,15,20,25,30
J36X9UwDw60LJ1bRbo4YWnZcvif,RPG,5,6,7,8,10
F0KBhuRC0_vBp2jbtVo7__enOIh,RPG,5,6,7,8,10
5L34Y50hd11z29PfugloVfGtdla,RPG,5,6,7,8,10
66QTibm8pQ9F0QPB537mtTRyaz2,RPG,30,35,40,45,55
O_jT9x6TdI4c1nAPg5sooJZClF5,RPG,5,6,7,8,10
3_kgTuYvpIv4QpOz5gkJlZKWq6f,RPG,10,15,20,25,30
uEiQNeOfIjblRZPCtGgcbJEh9K3,RPG,5,6,7,8,10
xgJ7ssXxzrFzN1TvtmU9eGhT8Qf,RPG,5,6,7,8,10
pvnYPH5du3CtK24vYUbOUY7zTtg,RPG,10,15,20,25,30
6O_nMVKE5NS1GUnp4Sal14GVTSa,RPG,30,35,40,45,55
eZ7ZpignL6LrcExEqZvYnjIw0r6,RPG,5,6,7,8,10
s2RbP0MFUbEDTWR12JIITl7wiJ,RPG,5,6,7,8,10
e8h_k21vpVVthTCe_cUyenzxWoc,RPG,5,6,7,8,10
5FJIFxhXVsmEYaLVUyUb9D43sq4,RPG,5,6,7,8,10
yM53mzRyTgdcsmjGLmC8TwpRvS3,RPG,5,6,7,8,10
mOOIkDjvVEi5THOFpEwTwoOsphl,RPG,5,6,7,8,10
5oPNtuV7xFQY66qemomDhZfPZLg,RPG,5,6,7,8,10
JNdxenJlUuyHlbKsbAFV9P7Oz94,RPG,5,6,7,8,10
M21I2SGCgtEbIMCO2eSjZwQV9e7,RPG,5,6,7,8,10
Jujb5duc0YByVmhQ9RiSGO2osY7,RPG,5,6,7,8,10
9Age6A2dVl3B6hV_89pVvKe3Agm,RPG,5,6,7,8,10
VkU3eiHTMg7bCSI4XnTCxOVkmbg,RPG,5,6,7,8,10
PxTh8iIHhiyqiMRUOTkekomUhYh,RPG,5,6,7,8,10
La8_uoRSH8ptlHJbH1eIx3ACM_8,RPG,5,6,7,8,10
OZOc_AOXLhByr6tJHnEoZRDiPrd,RPG,5,6,7,8,10
gvsYygVKG3ZnFHw9lv9udFLlMUa,RPG,5,6,7,8,10
HqLccdpvZC8qbySwA42PMbLf9C3,RPG,5,6,7,8,10
BtgwHuXZYIeQ77Mp8CQUspJuqb0,RPG,50,60,70,80,100
Qk77ovoeangqcK9UAlE6okZzVTh,RPG,10,15,20,25,30
0prQ4Og0mTnCNgRUy_oi1PUskr1,RPG,10,15,20,25,30
WmW2Xv7XFI7v9XcUjnmcHt1eoX0,RPG,10,15,20,25,30
GY8ewhoTqFKHkH2voaSbdBYYwld,RPG,10,15,20,25,30
Jlo8WRqeVLW68MxtX1e5qTJ2SDd,RPG,5,6,7,8,10
fACU8LTA3VfkbIXE6DO0s7jerWb,RPG,5,6,7,8,10
JhBz9wtAGoLOXepC9Bx_ScST2f,RPG,10,15,20,25,30
9pj_RiVw9rjSnFN2ELUMsQuXvw4,RPG,10,15,20,25,30
uvaywtPj6gGZw7Vlwwh1tPoLVCl,RPG,5,6,7,8,10
8ZIxpafNJY14foj8H0VqSuYI547,RPG,5,6,7,8,10
ofndjs5PVKkSSWLMKR1LNeLJ4A8,RPG,5,6,7,8,10
S0sLuIjwASvMwq1zsOU75rHWKlg,RPG,5,6,7,8,10
IYkziLnkWpIeyYVMJHSkBUTE_Ph,RPG,5,6,7,8,10
LUEQeEGUdyKlueDtl80n9vL4qsg,RPG,30,35,40,45,55
vOGkCahMIBDodN77wdElqBNdLYc,RPG,5,6,7,8,10
joRWnZd7pntImYcqXchbWnNObmm,RPG,5,6,7,8,10
LHnbn9GP9ee33L3_flQ9p2TZo0f,RPG,10,15,20,25,30
jzxxpWT3RYeqRhGe9W0LX0M9E0c,RPG,5,6,7,8,10
aM8mte36_dhTDkqQqpfiNfK1dV8,RPG,30,35,40,45,55
P9twt38sXaUb1hRSvnet1dDZD4k,RPG,5,6,7,8,10
v7eJf_2jBd8yHGh1rCfcKCUBb8a,RPG,5,6,7,8,10
AkqK0yLCjFllk9qHTFuUNsL_cFh,RPG,5,6,7,8,10
jdRdTQBSo9_sJltlc4Km08kOurg,RPG,10,15,20,25,30
9dVVljEg6Q20fN4RRHcuuNtPD3j,RPG,30,35,40,45,55
gUad0lS4ue3t_QEXslrP7wRPc_7,RPG,5,6,7,8,10
_UfH57jUfRwqkaTaIxArAGBWsbe,RPG,5,6,7,8,10
IvHveqQQ29vpSa987CxT6F5nPaj,RPG,5,6,7,8,10
oO5Ue7xmbb7BCSBhFoVbefvFjv1,RPG,5,6,7,8,10
OJRl9ywdBbK9B9EjdIMBaaD9zc6,RPG,10,15,20,25,30
PKxOCdOdAlivBeeTXYj0_L69l97,RPG,10,15,20,25,30
WQ6TuL_cZ0n6qRNj37gmySrRWc3,RPG,50,60,70,80,100
cdjDd0gXwqaEQoJRKp7KwMudhkf,RPG,30,35,40,45,55
SzFTGUlbC9cSPzOvokaPGC9Apaj,RPG,10,15,20,25,30
2H36Ldpc6TveZ_bSVpz99eN4vf2,RPG,5,6,7,8,10
PFmRp_JNmGWrfyuhrJUGxowCRI5,RPG,5,6,7,8,10
jny6u0v1Xi2PZIFXaVl7NOVRX92,RPG,5,6,7,8,10
pD5_htKYGgAtdSIq_gDOo92mQM4,RPG,5,6,7,8,10
e9pUMaBkDEF9Ko2MMP4tLnc_o_l,RPG,5,6,7,8,10
RKmrZ_Kf0U9s968F5lJFENS0Obf,RPG,5,6,7,8,10
E8b4OeT_IAIGAHbsyvgXg8dVQp1,RPG,5,6,7,8,10
dWFO7nsksjY9mAzFrrIzRfEpU5l,RPG,5,6,7,8,10
cW_8NKNhaFs2nLUk0tWSziyvD5h,RPG,10,15,20,25,30
6j_NDLlw4mq2sa_l1SjstOh4D43,RPG,30,35,40,45,55
DIg4LemjYqlQW06nP0H7eQ6zfu,RPG,5,6,7,8,10
7NO3W88s6YTKGzgpu7XRVjwVlrm,RPG,10,15,20,25,30
La8_uoRSH8ptlHJbH1eIx3ACM_8,RPG,30,35,40,45,55
I57y1HTuLbvIOwXRc1y0oCcCM_m,RPG,10,15,20,25,30
KzM0APeKvPivUR6u0RfPRHJ_849,RPG,10,15,20,25,30
wzcVl3f8_KJaA01WOEhP5W_fXqc,RPG,5,6,7,8,10
L51YywAOXQmqoYntY5v5upfvCXk,RPG,5,6,7,8,10
9tkBykwzT2oEZ2qqpu1ZiXNvSSd,RPG,5,6,7,8,10
2Q6ebMF7d14nIXgdM7AXQ0VcWp0,RPG,5,6,7,8,10
dSE9zyeAK1Mz5VU3WNaZOCwhHR4,RPG,10,15,20,25,30
OWBVtrP1kzQm_DPNL4mkLA0W2Fh,RPG,5,6,7,8,10
uUdkrSCaRtAmPYj1143vtnheB62,RPG,30,35,40,45,55
Nh8G7CoUW43_29o7uh8FMt4mMZa,RPG,10,15,20,25,30
Jeyd4IZgvGwIb_i_cvmgG47MqMf,RPG,10,15,20,25,30
3WO2MtC0KfSUM30kmKIzN5Xa8b3,RPG,5,6,7,8,10
8srjATTQDYqztsJYJNvt3EKanVi,RPG,5,6,7,8,10
DIg4LemjYqlQW06nP0H7eQ6zfu,RPG,5,6,7,8,10
VGFhVY1OP93cg6K1h7yAvAifRJm,RPG,5,6,7,8,10
Pjy0LZuwOQp7jniKqsb3rkKNtta,RPG,5,6,7,8,10
P8yjfCwQNbuUtJhzAmQRNqkNt9k,RPG,5,6,7,8,10
Pabp3lpgjXvL2bM6b5ndaBlDyz8,RPG,5,6,7,8,10
clld04sSyQP7bycqzosLfGtj5Ij,RPG,5,6,7,8,10
eWPLll09eZ_VdpbO876enYAqn9g,RPG,5,6,7,8,10
4M9YV3p8t_XSEf67l66T8RnFnFk,RPG,5,6,7,8,10
9C076JrbtgWNKUm0VCastQYakPf,RPG,5,6,7,8,10
twj1gbpKczBtzYOoXATFFKfokxg,RPG,5,6,7,8,10
HzpksxcZeuJ6cGDZlw55T_fldx5,RPG,5,6,7,8,10
C__4ueXXrssfzGhvzOfoBzljuh1,RPG,5,6,7,8,10
8nyu1weNzP8JcRxLlZUZceM4IY,RPG,5,6,7,8,10
2isicbXIia34a1PNHvI53gvnvc2,RPG,10,15,20,25,30
GnUYQ1racuiJZMQt3y7SJAiIv6,RPG,5,6,7,8,10
_Roby4cL_H1WngQbjQFzpzOSne8,RPG,10,15,20,25,30
gq5ZOMprGsWq5VM8cXqyILI4dh7,RPG,30,35,40,45,55
aZDGrOGXdpP7_JR0Zy9EYhxrTh8,RPG,5,6,7,8,10
8iCCwj_cNMp5yWT3NVVnz1oWUyl,RPG,30,35,40,45,55
qVO2jE8mUcAsxFw2ujEKSvJs1wa,RPG,10,15,20,25,30
HEE3QKCf_A1SLmsxx8DpKnE5hW,RPG,5,6,7,8,10
ebU3d5iantu89NOWqCVvTiZBG19,RPG,5,6,7,8,10
s1euagNf5mQBzc9LUFJw9LZm9x2,RPG,5,6,7,8,10
kyVJpo8UrjKjVTeWKgp2Wcx8upm,RPG,5,6,7,8,10
368fb3vahQeVfD0mP6amCNoYqWc,RPG,50,60,70,80,100
q2zyUTrUwSv4EZ97rUAiNgT9_Yd,RPG,30,35,40,45,55
zxpGq6KaHTvs9UfpYnNw0aF37pg,RPG,5,6,7,8,10
ibxnk6TrgtxSzVw5MB_4O3Q7NY5,RPG,10,15,20,25,30
U564JRjIiHtYQjTezG4hvFkwgK2,RPG,50,60,70,80,100
IEHh4SLdxsfIM3Ot9N_epXKMu9i,RPG,5,6,7,8,10
8A_VN4I3S30ZmOpwcG_v_ImwDN4,RPG,5,6,7,8,10
T2EOTDCq_WY4VGpK_k5_PIva4q8,RPG,5,6,7,8,10
QYT35YQcCw9geDQCiWPlSM3qiNi,RPG,5,6,7,8,10
BA0J0aFUlq71Yw7SCGSaZpew0F4,RPG,5,6,7,8,10
MiN4nH2am8sM_STWWM2uXC9UOr2,RPG,5,6,7,8,10
uEJa1gC7iKpWQaips29k0eVHnC2,RPG,5,6,7,8,10
DwZLCqVZWAcpy9Q8KR3vj3TC31a,RPG,5,6,7,8,10
gTKCQAsXlZNBAmLcAsnqtk1RJO6,RPG,5,6,7,8,10
Qi0wC3EtpTFn1i39oNARdr21ku5,RPG,5,6,7,8,10
snNnp6U186mlYn3amRHGXDjMGfe,RPG,5,6,7,8,10
zQ7h4sVFHbjcq14WHMRhHd9jZoh,RPG,5,6,7,8,10
Kfas3_Ajq32qwA3Y9qdHyQ7aNIj,RPG,5,6,7,8,10
38BeflHCxw3Sxu9tFd9MEgAdiod,RPG,5,6,7,8,10
H6SXOy2usXiHBgXlamnVu01cKLd,RPG,5,6,7,8,10
8d2JkGhJG_qwpLamz4Mt9txcAi2,RPG,5,6,7,8,10
lWcRL8JxyKR_wgHfugTOCXQ2nvl,RPG,5,6,7,8,10
L0jKuqCJw59GwCHGQ3FR5_KXYC0,RPG,5,6,7,8,10
__Aky8CsDcV6n21tSNf4REEeOUi,RPG,5,6,7,8,10
sMDfenT7uzONHio34D2NAFaP8me,RPG,5,6,7,8,10
sz7R7Ld1Ay6NGXWmalouxdkIzv2,RPG,5,6,7,8,10
M3CRPo3JehsV6dT_mK4ekU69a_0,RPG,5,6,7,8,10
yFEcR9OMmSetkW9lGZlrKzBEuc0,RPG,5,6,7,8,10
aNT5WdLlKgn3ZKCnNotIWP_HDna,RPG,5,6,7,8,10
h300Zz5YkTT3fGzzqtZMkkW5xJj,RPG,5,6,7,8,10
uF2ugf1sZVF7jIyUFxewxinMgd8,RPG,5,6,7,8,10
